id,cpmk,kode,matkul,semester,sks,deskripsi_cpmk,kode_cpmk,grouped
1,CPMK04,ST179,Digi Preneurship,7,2,"Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;

",CPMK04,
2,CPMK35,ST179,Digi Preneurship,7,2,Mahasiswa Mampu menerapkan metode analisis sistem.,CPMK35,
3,CPMK38,ST179,Digi Preneurship,7,2,Mahasiswa mampu menganalisis platform yang sesuai untuk kebutuhan industri atau masyarakat,CPMK38,
4,CPMK39,ST179,Digi Preneurship,7,2,Mahasiswa menjelaskan konsep teknik akuisisi data,CPMK39,grouped
5,CPMK25,ST174,Teknologi Jaringan Nirkabel,5,2,Mahasiswa mampu menerapkan konsep arsitektur dan organisasi komputer untuk menunjang sistem jaringan komputer;,CPMK25,
6,CPMK28,ST174,Teknologi Jaringan Nirkabel,5,2,Mahasiswa mampu mengkonfigurasi sistem jaringan komputer sesuai kebutuhan pengguna,CPMK28,
7,CPMK29,ST174,Teknologi Jaringan Nirkabel,5,2,Mahasiswa mampu menjelaskan sistem komunikasi nirkabel;,CPMK29,
8,CPMK43,ST174,Teknologi Jaringan Nirkabel,5,2,Mahasiswa mampu mengidentifikasi komponen dan perangkat yang dibutuhkan untuk membangun jaringan komputer,CPMK43,grouped
9,CPMK05,ST173,Media Interaktif,5,4,"Mahasiswa membangun integritas dengan cara menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan;
",CPMK05,
10,CPMK10,ST173,Media Interaktif,5,4,Mahasiswa mampu memecahkan masalah pada industri secara inovatif,CPMK10,
11,CPMK11,ST173,Media Interaktif,5,4,Mahasiswa mampu menghasilkan produk ekonomi kreatif digital dalam bidang informatika,CPMK11,
12,CPMK32,ST173,Media Interaktif,5,4,mahasiswa mampu membuat produk digital.,CPMK32,
13,CPMK33,ST173,Media Interaktif,5,4,mahasiswa mampu menerapkan prinsip prinsip multimedia pada produk digital,CPMK33,
14,CPMK34,ST173,Media Interaktif,5,4,mahasiswa mampu menyelesaikan masalah di masyarakat dengan produk digital,CPMK34,grouped
15,CPMK32,ST171,VIDEO DAN BROADCASTING,5,4,mahasiswa mampu membuat produk digital.,CPMK32,
16,CPMK33,ST171,VIDEO DAN BROADCASTING,5,4,mahasiswa mampu menerapkan prinsip prinsip multimedia pada produk digital,CPMK33,
17,CPMK45,ST171,VIDEO DAN BROADCASTING,5,4,mahasiswa mampu menguraikan prinsip-prinsip multimedia,CPMK45,grouped
18,CPMK04,ST170,Rekayasa Perangkat Lunak,5,4,"Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;

",CPMK04,
19,CPMK09,ST170,Rekayasa Perangkat Lunak,5,4,Mahasiswa mampu menerapkan ilmu pengetahuan bidang informatika untuk menyelesaikan masalah pada industri,CPMK09,
20,CPMK16,ST170,Rekayasa Perangkat Lunak,5,4,Mahasiswa mampu merancang perangkat lunak pada berbagai platform digital,CPMK16,
21,CPMK38,ST170,Rekayasa Perangkat Lunak,5,4,Mahasiswa mampu menganalisis platform yang sesuai untuk kebutuhan industri atau masyarakat,CPMK38,grouped
22,CPMK19,ST168,Big Data & Data Mining,5,4,Mahasiswa mampu menerapkan teknik akuisisi data;,CPMK19,
23,CPMK21,ST168,Big Data & Data Mining,5,4,Mahasiswa mampu menerapkan metode analisis data;,CPMK21,
24,CPMK23,ST168,Big Data & Data Mining,5,4,Mahasiswa mampu menerapkan metode evaluasi data;,CPMK23,
