id,cpmk,kode,matkul,semester,sks,deskripsi_cpmk,kode_cpmk,grouped
1,CPMK04,ST013,Lingkungan Bisnis,2,2,Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;,CPMK04,
2,CPMK05,ST013,Lingkungan Bisnis,2,2,Mahasiswa membangun integritas dengan cara menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan;,CPMK05,
3,CPMK06,ST013,Lingkungan Bisnis,2,2,Mahasiswa menerapkan sikap profesional memimpin dalam tim dengan penuh tanggung jawab terhadap pekerjaannya;,CPMK06,
4,CPMK08,ST013,Lingkungan Bisnis,2,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,grouped
5,CPMK06,ST014,Komunikasi Data,2,4,Mahasiswa menerapkan sikap profesional memimpin dalam tim dengan penuh tanggung jawab terhadap pekerjaannya;,CPMK06,
6,CPMK39,ST014,Komunikasi Data,2,4,Mahasiswa menjelaskan konsep teknik akuisisi data,CPMK39,
7,CPMK41,ST014,Komunikasi Data,2,4,Mahasiswa mampu menerapkan teknik pengolahan data untuk menyelesaikan masalah,CPMK41,
8,CPMK42,ST014,Komunikasi Data,2,4,Mahasiswa mampu menjelaskan tentang metodologi dalam membangun jaringan komputer,CPMK42,grouped
9,CPMK04,ST015,Struktur Data,2,4,Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;,CPMK04,
10,CPMK16,ST015,Struktur Data,2,4,Mahasiswa mampu merancang perangkat lunak pada berbagai platform digital,CPMK16,
11,CPMK17,ST015,Struktur Data,2,4,Mahasiswa mampu melakukan evaluasi perangkat lunak pada berbagai platform digital,CPMK17,
12,CPMK38,ST015,Struktur Data,2,4,Mahasiswa mampu menganalisis platform yang sesuai untuk kebutuhan industri atau masyarakat,CPMK38,grouped
13,CPMK04,ST016,Bahasa Inggris II,2,2,Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;,CPMK04,
14,CPMK05,ST016,Bahasa Inggris II,2,2,Mahasiswa membangun integritas dengan cara menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan;,CPMK05,
15,CPMK12,ST016,Bahasa Inggris II,2,2,Mahasiswa mampu mendokumentasikan pemikiran dengan baik,CPMK12,grouped
16,CPMK04,ST019,Sistem Operasi,2,4,Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;,CPMK04,
17,CPMK39,ST019,Sistem Operasi,2,4,Mahasiswa menjelaskan konsep teknik akuisisi data,CPMK39,
18,CPMK40,ST019,Sistem Operasi,2,4,Mahasiswa mampu menerapkan teknik analisis data,CPMK40,
